2025-07-29T13:59:35.162886386 | SYSTEM | Application started successfully
2025-07-29T13:59:40.477832158 | admin | Session started
2025-07-29T13:59:40.478341194 | admin | User authenticated successfully
2025-07-29T13:59:40.478546969 | admin | Login successful
2025-07-29T13:59:40.67128517 | SYSTEM | Scene switched to: /fxml/dashboard.fxml
2025-07-29T13:59:42.881399934 | SYSTEM | Scene switched to: /fxml/booking-management-view.fxml
2025-07-29T13:59:42.881616648 | admin | Navigated to Booking Management
2025-07-29T13:59:46.616570342 | SYSTEM | Scene switched to: /fxml/dashboard.fxml
2025-07-29T13:59:46.616814767 | admin | Navigated back to Dashboard from Booking Management
2025-07-29T13:59:49.055322213 | SYSTEM | Application shutting down
2025-07-29T13:59:49.059986242 | SYSTEM | Backup created: backups/tourism_backup_20250729_135949.zip
2025-07-29T14:00:02.009579819 | SYSTEM | Application started successfully
2025-07-29T14:00:13.15446965 | admin | Session started
2025-07-29T14:00:13.154645829 | admin | User authenticated successfully
2025-07-29T14:00:13.154812033 | admin | Login successful
2025-07-29T14:00:13.263293153 | SYSTEM | Scene switched to: /fxml/dashboard.fxml
2025-07-29T14:00:14.907250685 | SYSTEM | Scene switched to: /fxml/tourist-management-view.fxml
2025-07-29T14:00:14.907453152 | admin | Navigated to Tourist Management
2025-07-29T14:00:16.625241135 | SYSTEM | Scene switched to: /fxml/dashboard.fxml
2025-07-29T14:00:16.625550321 | admin | Navigated back to Dashboard from Tourist Management
2025-07-29T14:00:18.87146557 | SYSTEM | Application shutting down
2025-07-29T14:00:18.875031277 | SYSTEM | Backup created: backups/tourism_backup_20250729_140018.zip
2025-07-29T14:02:01.207101757 | SYSTEM | Application started successfully
2025-07-29T14:02:08.076275676 | admin | Session started
2025-07-29T14:02:08.076438933 | admin | User authenticated successfully
2025-07-29T14:02:08.076552768 | admin | Login successful
2025-07-29T14:02:08.185801244 | SYSTEM | Scene switched to: /fxml/dashboard.fxml
2025-07-29T14:02:09.650099324 | SYSTEM | Scene switched to: /fxml/tourist-management-view.fxml
2025-07-29T14:02:09.650361434 | admin | Navigated to Tourist Management
2025-07-29T14:02:29.130906138 | SYSTEM | Tourist saved/updated: Saugat Chaudhary
2025-07-29T14:02:29.132745574 | admin | Created tourist: Saugat Chaudhary
2025-07-29T14:02:35.458891911 | SYSTEM | Scene switched to: /fxml/dashboard.fxml
2025-07-29T14:02:35.459091318 | admin | Navigated back to Dashboard from Tourist Management
2025-07-29T14:02:39.153641313 | SYSTEM | Application shutting down
2025-07-29T14:02:39.157363448 | SYSTEM | Backup created: backups/tourism_backup_20250729_140239.zip
2025-07-29T14:27:22.385538508 | SYSTEM | Application started successfully
2025-07-29T14:28:31.481739135 | SYSTEM | Application shutting down
2025-07-29T14:28:31.493676618 | SYSTEM | Backup created: backups/tourism_backup_20250729_142831.zip
2025-07-29T14:28:42.083132334 | SYSTEM | Application started successfully
2025-07-29T14:29:45.744455547 | SYSTEM | Application shutting down
2025-07-29T14:29:45.758648998 | SYSTEM | Backup created: backups/tourism_backup_20250729_142945.zip
2025-07-29T14:29:59.308146004 | SYSTEM | Application started successfully
2025-07-29T14:30:03.71110718 | SYSTEM | Application shutting down
2025-07-29T14:30:03.72489682 | SYSTEM | Backup created: backups/tourism_backup_20250729_143003.zip
2025-07-29T14:30:32.1578068 | SYSTEM | Application started successfully
2025-07-29T14:30:58.470418676 | SYSTEM | Application shutting down
2025-07-29T14:30:58.477780573 | SYSTEM | Backup created: backups/tourism_backup_20250729_143058.zip
2025-07-29T14:31:05.62308898 | SYSTEM | Application started successfully
2025-07-29T14:31:54.209457692 | SYSTEM | Language changed to: Nepali
2025-07-29T14:32:00.586713603 | admin | Session started
2025-07-29T14:32:00.586923101 | admin | User authenticated successfully
2025-07-29T14:32:00.587004384 | admin | Login successful
2025-07-29T14:32:00.686613449 | SYSTEM | Scene switched to: /fxml/dashboard.fxml
2025-07-29T14:32:04.647916124 | SYSTEM | Scene switched to: /fxml/booking-management-view.fxml
2025-07-29T14:32:04.648177093 | admin | Navigated to Booking Management
2025-07-29T14:32:06.677216457 | SYSTEM | Application shutting down
2025-07-29T14:32:06.685320629 | SYSTEM | Backup created: backups/tourism_backup_20250729_143206.zip
2025-07-29T14:32:34.142450896 | SYSTEM | Application started successfully
2025-07-29T14:32:40.300867469 | SYSTEM | Application shutting down
